"par","geno","spore","sex_start","sex_end","sex","mat_start","mat_end","1","mor_start"
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,15,1000,0,14,15,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
0,0,0,19,1000,0,18,19,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,21,1000,0,20,21,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,19,1000,0,18,19,NA,NA
0,0,0,19,1000,0,18,19,NA,NA
0,0,0,20,1000,0,19,20,NA,NA
0,0,0,16,1000,0,15,16,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,11,1000,0,10,11,NA,NA
0,0,0,20,1000,0,19,20,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,11,1000,0,10,11,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,15,1000,0,14,15,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
2,0,3,0,1000,1,24,1000,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
2,0,3,14,1000,1,13,14,NA,NA
2,0,3,14,1000,1,13,14,NA,NA
0,0,0,11,1000,0,10,11,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
2,0,3,16,1000,1,15,16,NA,NA
2,0,3,0,1000,1,47,1000,NA,NA
2,0,3,0,1000,1,38,1000,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
2,0,3,13,1000,1,12,13,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
0,0,0,16,1000,0,15,16,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
2,0,3,35,1000,1,34,35,NA,NA
0,0,0,20,1000,0,19,20,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
2,0,3,19,1000,1,18,19,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
0,0,0,11,1000,0,10,11,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
2,0,3,0,1000,1,30,1000,NA,NA
0,0,0,11,1000,0,10,11,NA,NA
2,0,3,12,1000,1,11,12,NA,NA
2,0,3,13,1000,1,12,13,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
1,0,1,0,1000,1,49,1000,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
1,0,1,0,1000,1,76,1000,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
1,0,1,14,1000,1,13,14,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
1,0,1,11,1000,1,10,11,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,1,13,1000,1,12,13,NA,NA
1,0,1,13,1000,1,12,13,NA,NA
0,0,0,19,1000,0,18,19,NA,NA
0,0,0,19,1000,0,18,19,NA,NA
1,0,1,14,1000,1,13,14,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,1,0,1000,1,51,1000,NA,NA
1,0,1,0,1000,1,32,1000,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
1,0,1,13,1000,1,12,13,NA,NA
1,0,1,11,1000,1,10,11,NA,NA
0,0,0,16,1000,0,15,16,NA,NA
1,0,1,10,1000,1,9,10,NA,NA
1,0,1,15,1000,1,14,15,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,1,11,1000,1,10,11,NA,NA
1,0,1,13,1000,1,12,13,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
0,0,0,19,1000,0,18,19,NA,NA
1,0,1,10,1000,1,9,10,NA,NA
1,0,1,13,1000,1,12,13,NA,NA
1,0,1,12,1000,1,11,12,NA,NA
1,0,2,13,1000,1,12,13,NA,NA
1,0,2,13,1000,1,12,13,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
0,0,0,11,1000,0,10,11,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
0,0,0,0,1000,0,19,1000,NA,NA
1,0,2,14,1000,1,13,14,NA,NA
1,0,2,15,1000,1,14,15,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
1,0,2,13,1000,1,12,13,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
1,0,2,0,1000,1,34,1000,NA,NA
0,0,0,12,1000,0,11,12,NA,NA
1,0,2,13,1000,1,12,13,NA,NA
0,0,0,0,1000,0,18,1000,NA,NA
1,0,2,15,1000,1,14,15,NA,NA
0,0,0,14,1000,0,13,14,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
0,0,0,13,1000,0,12,13,NA,NA
1,0,2,13,1000,1,12,13,NA,NA
0,0,0,20,1000,0,19,20,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
1,0,2,8,1000,1,7,8,NA,NA
1,0,2,0,1000,1,51,1000,NA,NA
1,0,2,11,1000,1,10,11,NA,NA
1,0,2,0,1000,1,50,1000,NA,NA
1,0,2,15,1000,1,14,15,NA,NA
1,0,2,0,1000,1,63,1000,NA,NA
1,0,2,11,1000,1,10,11,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
1,0,2,12,1000,1,11,12,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,9,1000,0,8,9,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,9,1000,0,8,9,NA,NA
0,1,0,14,1000,0,13,14,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,9,1000,0,8,9,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,9,1000,0,8,9,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,17,1000,0,16,17,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,14,1000,0,13,14,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,9,1000,0,8,9,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,9,1000,0,8,9,NA,NA
1,1,1,12,1000,1,11,12,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
1,1,1,12,1000,1,11,12,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
1,1,1,9,1000,1,8,9,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
1,1,1,10,1000,1,9,10,NA,NA
1,1,1,10,1000,1,9,10,NA,NA
1,1,1,10,1000,1,9,10,NA,NA
1,1,1,0,1000,1,28,1000,NA,NA
1,1,1,10,1000,1,9,10,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
0,1,0,12,1000,0,11,12,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
1,1,1,11,1000,1,10,11,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
1,1,1,10,1000,1,9,10,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
1,1,1,9,1000,1,8,9,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
1,1,1,14,1000,1,13,14,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
1,1,1,14,1000,1,13,14,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
1,1,1,13,1000,1,12,13,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,12,1000,1,11,12,NA,NA
1,1,2,9,1000,1,8,9,NA,NA
1,1,2,14,1000,1,13,14,NA,NA
1,1,2,10,1000,1,9,10,NA,NA
1,1,2,10,1000,1,9,10,NA,NA
1,1,2,11,1000,1,10,11,NA,NA
1,1,2,10,1000,1,9,10,NA,NA
1,1,2,12,1000,1,11,12,NA,NA
1,1,2,0,1000,1,30,1000,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,14,1000,1,13,14,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,9,1000,0,8,9,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,9,1000,1,8,9,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
1,1,2,13,1000,1,12,13,NA,NA
0,1,0,13,1000,0,12,13,NA,NA
0,1,0,11,1000,0,10,11,NA,NA
1,1,2,12,1000,1,11,12,NA,NA
0,1,0,10,1000,0,9,10,NA,NA
1,1,2,11,1000,1,10,11,NA,NA
1,1,2,9,1000,1,8,9,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,19,1000,0,18,19,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,21,1000,0,20,21,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,15,1000,0,14,15,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,18,1000,0,17,18,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,10,1000,0,9,10,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,15,1000,0,14,15,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,16,1000,0,15,16,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,17,1000,0,16,17,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,18,1000,0,17,18,NA,NA
0,2,0,21,1000,0,20,21,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,18,1000,0,17,18,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,15,1000,0,14,15,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,15,1000,0,14,15,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,19,1000,0,18,19,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,21,1000,0,20,21,NA,NA
0,2,0,17,1000,0,16,17,NA,NA
0,2,0,18,1000,0,17,18,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,17,1000,0,16,17,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,18,1000,0,17,18,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,15,1000,0,14,15,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,15,1000,0,14,15,NA,NA
0,2,0,14,1000,0,13,14,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,11,1000,0,10,11,NA,NA
0,2,0,19,1000,0,18,19,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,19,1000,0,18,19,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,20,1000,0,19,20,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,2,0,12,1000,0,11,12,NA,NA
0,2,0,13,1000,0,12,13,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,15,1000,0,14,15,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,22,1000,0,21,22,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,7,1000,0,6,7,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
2,3,3,9,1000,1,8,9,NA,NA
2,3,3,15,1000,1,14,15,NA,NA
2,3,3,10,1000,1,9,10,NA,NA
2,3,3,11,1000,1,10,11,NA,NA
2,3,3,10,1000,1,9,10,NA,NA
2,3,3,9,1000,1,8,9,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
2,3,3,9,1000,1,8,9,NA,NA
2,3,3,9,1000,1,8,9,NA,NA
2,3,3,10,1000,1,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
2,3,3,9,1000,1,8,9,NA,NA
2,3,3,11,1000,1,10,11,NA,NA
2,3,3,9,1000,1,8,9,NA,NA
2,3,3,12,1000,1,11,12,NA,NA
2,3,3,9,1000,1,8,9,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
2,3,3,13,1000,1,12,13,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,14,1000,0,13,14,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
2,3,3,10,1000,1,9,10,NA,NA
2,3,3,11,1000,1,10,11,NA,NA
2,3,3,11,1000,1,10,11,NA,NA
2,3,3,10,1000,1,9,10,NA,NA
2,3,3,12,1000,1,11,12,NA,NA
2,3,3,10,1000,1,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,19,1000,0,18,19,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,8,1000,0,7,8,NA,NA
0,3,0,14,1000,0,13,14,NA,NA
0,3,0,14,1000,0,13,14,NA,NA
0,3,0,14,1000,0,13,14,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,7,1000,0,6,7,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,15,1000,0,14,15,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,9,1000,0,8,9,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,8,1000,0,7,8,NA,NA
0,3,0,21,1000,0,20,21,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,14,1000,0,13,14,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
0,3,0,13,1000,0,12,13,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,11,1000,0,10,11,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,10,1000,0,9,10,NA,NA
0,3,0,12,1000,0,11,12,NA,NA
